State Code,State Name
TT,Total
AN,Andaman & Nicobar 
AP,Andhra Pradesh
AR,Arunachal Pradesh
AS,Assam
BR,Bihar
CH,Chandigarh
CT,Chhattisgarh
DN,Dadra and Nagar Haveli
DD,Daman and Diu
DL,Delhi
GA,Goa
GJ,Gujrat
HR,Haryana
HP,Himachal Pradesh
JK,Jammu and Kashmir
JH,Jharkhand
KA,Karnataka
KL,Kerela
LA,Ladakh
LD,Lakshwadeep
MP,Madhya Pradesh
MH,Maharashtra
MN,Manipur
ML,Meghalaya
MZ,Mizoram
NL,Nagaland
OR,Orrisa
PY,Pondicherry
PB,Punjab
RJ,Rajasthan
SK,Sikkim
TN,Tamil Nadu
TG,Telengana
TR,Tripura
UP,Uttar Pradesh
UT,Uttarakhand
WB,West Bengal
UN,State Unkown
